experiment_name,model_name,accuracy,accuracy_interval_lower,accuracy_interval_upper,precision,precision_interval_lower,precision_interval_upper,recall,recall_interval_lower,recall_interval_upper,f1_score,f1_score_interval_lower,f1_score_interval_upper
experiment #253,Neural Network,0.9641170915958452,0.9789137487945112,0.9867145281252736,0.9933862433862434,0.982718537483938,0.9925650084585058,0.957908163265306,0.9861684639825712,0.9925233049565793,0.9753246753246754,0.9858715123475096,0.9910775332045484
experiment #253,Decision Tree,0.9820585457979226,0.965709712623152,0.9765059309906442,0.9847908745247148,0.9546942444562154,0.9696204017311094,0.9910714285714286,0.953738325779118,0.9705766939096389,0.9879211697393516,0.9548874639524084,0.9691577638387384
experiment #254,SVM,0.7403210576015109,0.7439257136872662,0.7450267419962947,0.7403210576015109,0.3719628568436331,0.3725133709981473,1.0,,,0.8507867607162235,0.4265809864735921,0.4269428859235195
experiment #254,Neural Network,0.7535410764872521,0.8665292990601848,0.9030829989745552,0.7502392344497608,0.8718400264701002,0.9066932450667784,1.0,0.9582775800186696,0.9742431422071224,0.8572990705303445,0.9149373041611056,0.9370858775422476
experiment #254,Decision Tree,0.9763928234183192,0.8766276188510651,0.8854139690506362,0.9922178988326849,0.8363346988780197,0.849064240753005,0.9757653061224488,0.8383330457979055,0.8581902059596218,0.9839228295819936,0.83875533606435,0.8511205542868621
experiment #255,SVM,0.9792256846081208,0.9759993085595324,0.9850970997580476,0.978643216080402,0.9723444244510534,0.9858397267022928,0.9936224489795918,0.9628563406486388,0.976545546081479,0.9860759493670886,0.968167042910028,0.980209063819336
experiment #255,Neural Network,0.9669499527856468,0.979905404522228,0.9879898767132824,0.9960264900662252,0.9834062000060642,0.991882758542096,0.9591836734693876,0.9874230670165888,0.9943105319039278,0.9772579597141,0.9865290961143036,0.9919499363034828
experiment #255,Decision Tree,0.9792256846081208,0.96983444603299,0.9818244333050272,0.983502538071066,0.9583014898175444,0.9743969728521844,0.9885204081632653,0.9616630509780826,0.9796914188085756,0.986005089058524,0.9604678179905984,0.9762932903433834
experiment #256,SVM,0.7403210576015109,0.7439257136872662,0.7450267419962947,0.7403210576015109,0.3719628568436331,0.3725133709981473,1.0,,,0.8507867607162235,0.4265809864735921,0.4269428859235195
experiment #256,Neural Network,0.7422096317280453,0.7979988251258554,0.8186349088685092,0.7417218543046358,0.8119576081107965,0.8280610223291179,1.0,0.9441718193985164,0.958926554950902,0.8517110266159695,0.8746724821796242,0.8870235185509251
experiment #256,Decision Tree,0.975448536355052,0.8568634955597856,0.8730726602343437,0.9846547314578004,0.811744519166648,0.8325361617930266,0.9821428571428572,0.8135609077679803,0.8396141770688704,0.983397190293742,0.8131335538966422,0.8345115369136256
experiment #257,SVM,0.980169971671388,0.9772016428242508,0.9854034861125114,0.979874213836478,0.9735351219858448,0.985308654337254,0.9936224489795918,0.964338000962438,0.9785076931920544,0.986700443318556,0.9697578805556288,0.9806731846040622
experiment #257,Neural Network,0.9622285174693108,0.9788217129485663,0.9871832091187022,0.992063492063492,0.983689990003898,0.9920655963450484,0.9566326530612244,0.9850821848890492,0.9936070138515531,0.974025974025974,0.985784719348318,0.991401110575958
experiment #257,Decision Tree,0.9811142587346552,0.966879671106332,0.976089976145514,0.986005089058524,0.9543186785141008,0.9716456482438236,0.9885204081632653,0.9580142475257298,0.9668138329993186,0.9872611464968152,0.9567135986094282,0.968419456402282
